Data,Valor (m)
29/12/2021 06:20,0.7774983473182648
29/12/2021 06:40,0.7454547032949951
29/12/2021 07:00,0.7059680185415909
29/12/2021 07:20,0.6740960310630871
29/12/2021 07:40,0.6859884228007485
29/12/2021 08:00,0.6503173751140335
29/12/2021 08:20,0.6340769036527054
29/12/2021 08:40,0.6458002617580639
29/12/2021 09:00,0.6864535435158821
29/12/2021 09:20,0.7598405495261413
29/12/2021 09:40,0.8613328943145548
29/12/2021 10:00,0.9910862646411673
29/12/2021 10:20,1.137511297897726
29/12/2021 10:40,1.2982746112585601
29/12/2021 11:00,1.4532853174593812
29/12/2021 11:20,1.6041324405085373
29/12/2021 11:40,1.72884472651178
29/12/2021 12:00,1.8315768845270843
29/12/2021 12:20,1.8918776495604248
29/12/2021 12:40,1.91644881441053
